question,bloom_level,source, language
Compare and contrast between signal and pipe methods in the context of inter process communication.,Analyze,figshare_exam_questions,en
Compare and contrast continuous and discontinuous replications.,Analyze,figshare_exam_questions,en
Compare and contrast microbial and chemical risk assessment.,Analyze,figshare_exam_questions,en
Compare and contrast our school to other communities.,Analyze,figshare_exam_questions,en
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",Analyze,figshare_exam_questions,en
Compare and contrast the characteristics and usage between aluminium and high carbon steel.,Analyze,figshare_exam_questions,en
Compare and contrast the characteristics between hardwood and softwood.,Analyze,figshare_exam_questions,en
"Compare and contrast the properties of clay brick and calcium silicate brick in terms of crushing strength, moisture movement, durability, appearance, fire resistance, colour, texture, sound and thermal insulation.",Analyze,figshare_exam_questions,en
Compare and contrast the two items and produce a summary of their similarities and differences,Analyze,figshare_exam_questions,en
Compare and contrast the waterfall model with the prototyping model.,Analyze,figshare_exam_questions,en
Compare and contrast two characters in the book.,Analyze,figshare_exam_questions,en
Compare any FIVE (5) differences between formal networks and informal networks.,Analyze,figshare_exam_questions,en
"Compare between URL, re-writing and Hidden Form field methods in respect of similarities and differences in the context of session management in Web environment.",Analyze,figshare_exam_questions,en
Compare fall and spring,Analyze,figshare_exam_questions,en
Compare herbatious and carnivorous animals on a Venn diagram.,Analyze,figshare_exam_questions,en
Compare how different children come to school.,Analyze,figshare_exam_questions,en
"Compare how the Net Present Value (NPV), IRR method and modified Internal Rate of Return (MIRR) method is different.",Analyze,figshare_exam_questions,en
"Compare how the internal rate of return (IRR) method, Net Present Value (NPV) and modified internal rate of return (MIRR) method is different.",Analyze,figshare_exam_questions,en
Compare matching demand and level aggregate production planning.,Analyze,figshare_exam_questions,en
Compare product layout and process layout.,Analyze,figshare_exam_questions,en
Compare the place where the story happened with where you live.,Analyze,figshare_exam_questions,en
Compare this book to the last book you read.,Analyze,figshare_exam_questions,en
Compare three celebrations using a Venn diagram.,Analyze,figshare_exam_questions,en
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analyze,figshare_exam_questions,en
Compare two of the characters in this book.,Analyze,figshare_exam_questions,en
Concrete mould can be fabricated using steel or plastic. Differentiate the characteristics of concrete mould that is produced by these materials.,Analyze,figshare_exam_questions,en
Conduct an investigation to produce information to support a view.,Analyze,figshare_exam_questions,en
Contrast Olympic athletes of today with athletes of past Olympic games.,Analyze,figshare_exam_questions,en
Contrast TWO (2) differences between a data mart and a data warehouse.,Analyze,figshare_exam_questions,en
Contrast building in the coastal zone with building in a river floodplain.,Analyze,figshare_exam_questions,en
Contrast the Valles Marineris on Mars with the Grand Canyon,Analyze,figshare_exam_questions,en
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article",Analyze,figshare_exam_questions,en
Critically analyze and discuss the problems with secondary data. Provide relevant examples to support your answer.,Analyze,figshare_exam_questions,en
Critically analyze the image above and discuss the strategic decisions associated with the appeals of the advertisement.,Analyze,figshare_exam_questions,en
Critically discuss FOUR (4) main dimensions that are used to classify countries based on Hofstede's Cultural Dimensions Theory.,Analyze,figshare_exam_questions,en
Critically discuss FOUR (4) main dimensions that used to classify countries based on Hofstede's Cultural Dimensions Theory.,Analyze,figshare_exam_questions,en
Critically discuss how demographic characteristics would affect a product development in a foreign market.,Analyze,figshare_exam_questions,en
Critically discuss on human's need to maintain a temperature of 37°C. Provide TWO (2) points.,Analyze,figshare_exam_questions,en
Critically discuss the THREE (3) options in handling the international media planning or buying.,Analyze,figshare_exam_questions,en
Critically discuss the quote above and explain FIVE(5) ways the interest groups can be more effective with relevant examples.,Analyze,figshare_exam_questions,en
Critically examine the strengths and weaknesses of the positivist paradigm,Analyze,figshare_exam_questions,en
"Critically explain how our statuses, educational qualification and occupation affect our social stratification, social mobility and life chances.",Analyze,figshare_exam_questions,en
Criticize the issues in Principal – Agent Theory.,Analyze,figshare_exam_questions,en
"Davenport (2000) discusses four emerging trends to be considered in designing future enterprise systems. Analyze each emerging trend, its relevance and importance to the designing of future enterprise systems.",Analyze,figshare_exam_questions,en
Define and explain 'Fiscal Policy' in terms of its objectives and differentiate between the 'Discretionary Fiscal Policy' and 'Automatic Fiscal Policy'.,Analyze,figshare_exam_questions,en
Describe how accurate mass spectrometry could be applied to determine if a small protein contains a pair of disulfide-bonded cysteine residue or two reduced cysteine residues. Explain how you can confirm your finding.,Analyze,figshare_exam_questions,en
Describe the THREE (3) elements of problem structure of a company. Contrast a structured problem to an unstructured problem. Discuss briefly which levels of management typically deal with structured problems and with unstructured problems.,Analyze,figshare_exam_questions,en
Develop a set of criteria for distinguishing between a good and bad example of this.,Analyze,figshare_exam_questions,en
"Differentiate among “external wall', 'internal wall' and 'parapet'.",Analyze,figshare_exam_questions,en
Differentiate between .call by value and call by reference.,Analyze,figshare_exam_questions,en
Differentiate between Gibbs adsorption equation and dynamic surface tension in the study of adsorption at interfaces.,Analyze,figshare_exam_questions,en
Differentiate between Market Economy and Planned Economy.,Analyze,figshare_exam_questions,en
Differentiate between Putlog and Independent Scaffold.,Analyze,figshare_exam_questions,en
Differentiate between a wholesaler and a retailer.,Analyze,figshare_exam_questions,en
Differentiate between commercial letter of credit and standby letter of credit.,Analyze,figshare_exam_questions,en
Differentiate between contact and systemic herbicides.,Analyze,figshare_exam_questions,en
Differentiate between crossbreeding and linebreeding.,Analyze,figshare_exam_questions,en
Differentiate between data and information using a real life example.,Analyze,figshare_exam_questions,en
Differentiate between data and information using examples.,Analyze,figshare_exam_questions,en
Differentiate between electroosmosis and electrophoretic mobility of solutes in capillary electroosmosis.,Analyze,figshare_exam_questions,en
Differentiate between general controls and application controls. Provide ONE (1) example for each.,Analyze,figshare_exam_questions,en
Differentiate between humic and non-humic substances.,Analyze,figshare_exam_questions,en
"Differentiate between phenylpropanoids and alkaloids in terms of structure, functions and applications.",Analyze,figshare_exam_questions,en
Differentiate between qualitative research and quantitative research in terms of their goal and design.,Analyze,figshare_exam_questions,en
Differentiate between repurchase agreement (repo) and reverse repurchase agreement.,Analyze,figshare_exam_questions,en
Differentiate between soil fertility and soil productivity.,Analyze,figshare_exam_questions,en
Differentiate between the following terms along with appropriate examples,Analyze,figshare_exam_questions,en
Differentiate between trait and phenotype.,Analyze,figshare_exam_questions,en
Differentiate between “trial pits' and 'boreholes”.,Analyze,figshare_exam_questions,en
"Differentiate bonds that are traded at par, premium and discount.",Analyze,figshare_exam_questions,en
Differentiate primary and secondary reserves of a bank. List THREE (3) examples for each reserve.,Analyze,figshare_exam_questions,en
Differentiate printf function calls for displaying prompts and for echoing data.,Analyze,figshare_exam_questions,en
Differentiate spoken and written language in FIVE (5) aspects.,Analyze,figshare_exam_questions,en
Differentiate the following functions using the quotient rule,Analyze,figshare_exam_questions,en
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analyze,figshare_exam_questions,en
"Differentiate the properties between clay brick and autoclave aerated concrete (AAC) block in term of compressive strength, density, colour, acoustic performance and thermal insulation.",Analyze,figshare_exam_questions,en
"Discriminate the different parts of the story (introduction, development, climax, resolution.)",Analyze,figshare_exam_questions,en
Discriminate the pros and cons of ____.,Analyze,figshare_exam_questions,en
Discuss ONE (1) similarity and ONE (1) difference between virtual reality and augmented reality.,Analyze,figshare_exam_questions,en
Discuss in detail the criteria used to assess the success or failure of a newly released transgenic crop with improved tolerance to stress.,Analyze,figshare_exam_questions,en
Discuss on the importance of KM with specific reference to its impact on employee's learning and process efficiency.,Analyze,figshare_exam_questions,en
"Discuss the comparison between the microeconomics and macroeconomics field of study in term of production, prices, income and employment.",Analyze,figshare_exam_questions,en
Discuss the effectiveness of POST and GET methods in respect of flexibility and security.,Analyze,figshare_exam_questions,en
Discuss the effectiveness of using Expression Language (EL) compared to other methods in JSP.,Analyze,figshare_exam_questions,en
Discuss the factors that you think may have affected the quality of newspapers in Malaysia and identify the key elements for a successful newspaper .,Analyze,figshare_exam_questions,en
Discuss the roles of construction industry in a country's growth. Provide evidences on how construction industries worldwide have contributed to the economic growths of their respective countries to enhance your discussions.,Analyze,figshare_exam_questions,en
Discuss why web developers or programmers would prefer to use Expression Language (EL) compared to other methods in JSP for displaying dynamic content in web browsers.,Analyze,figshare_exam_questions,en
Distinguish Paradox of the Commons from Tragedy of the Commons.,Analyze,figshare_exam_questions,en
"Distinguish among acidic, saline and sodic soils.",Analyze,figshare_exam_questions,en
Distinguish automatic processing and controlled processing of information. Support your answer with TWO (2) relevant examples. Elaborate your examples in details.,Analyze,figshare_exam_questions,en
Distinguish between 'Trench' and 'Pier holes/ Pits' construction excavation.,Analyze,figshare_exam_questions,en
Distinguish between 'differential foundation settlement' and 'uniform foundation settlement'.,Analyze,figshare_exam_questions,en
Distinguish between 'periodic inspection' and 'continuous inspection'.,Analyze,figshare_exam_questions,en
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analyze,figshare_exam_questions,en
Distinguish between chemically defined media and natural media.,Analyze,figshare_exam_questions,en
Distinguish between flat roof and pitched roof.,Analyze,figshare_exam_questions,en
Distinguish between micro and macro economics.,Analyze,figshare_exam_questions,en
Distinguish between objectives and learning outcomes when planning a lesson.,Analyze,figshare_exam_questions,en
Distinguish between products from physical and chemical weathering.,Analyze,figshare_exam_questions,en
Distinguish between rill and gully erosion.,Analyze,figshare_exam_questions,en
Distinguish between stock dividend and stock split by providing one relevant example.,Analyze,figshare_exam_questions,en
Distinguish between the following giving suitable examples,Analyze,figshare_exam_questions,en
Distinguish between the ripening behavior of climacteric and non-climacteric fruits in terms of their respiration rates and ethylene production.,Analyze,figshare_exam_questions,en
Distinguish between the ripening behaviour of climacteric and non-climacteric fruits in terms of carbon dioxide release and ethylene synthesis.,Analyze,figshare_exam_questions,en
Distinguish between ‘land surveyor' and 'quantity surveyor'.,Analyze,figshare_exam_questions,en
Distinguish between ‘load bearing wall' and 'non-load bearing wall’.,Analyze,figshare_exam_questions,en
Distinguish between “suspended' and ‘non-suspended' floor.,Analyze,figshare_exam_questions,en
Distinguish clearly between power and authority.,Analyze,figshare_exam_questions,en
Distinguish facts from hypotheses,Analyze,figshare_exam_questions,en
Distinguish the difference between low pass filter and high pass filter.,Analyze,figshare_exam_questions,en
"Divide the story into initiating event, rising action, climax, and falling action",Analyze,figshare_exam_questions,en
Draw a diagram to show the memory configuration after the following statements ....,Analyze,figshare_exam_questions,en
Estimate the value of the roughness parameter of the riverbed from the observed surface slope and velocity. Compare your computed value with generally known values for the present river bed.,Analyze,figshare_exam_questions,en
Examine FIVE (5) advantages of using video as instructional materials to primary school students.,Analyze,figshare_exam_questions,en
Examine carefully the given map extract on the following page to help you work out the exercise below.,Analyze,figshare_exam_questions,en
Examine cross-docking warehouse layout.,Analyze,figshare_exam_questions,en
Examine differences between the means of each individual switching factor.,Analyze,figshare_exam_questions,en
Examine how conventional newspaper can continue to maintain its circulation with the easy access to alternative information on the web.,Analyze,figshare_exam_questions,en
Examine how e-commerce facilitates Value Chain and Supply Chain.,Analyze,figshare_exam_questions,en
Examine the connection and connectionless protocols using appropriate examples.,Analyze,figshare_exam_questions,en
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analyze,figshare_exam_questions,en
Examine the differences between the model excluding the most influential observation and the model including all observations.,Analyze,figshare_exam_questions,en
Examine the two roles and show how newspaper managers can successfully draw a balance between their economic role and social role.,Analyze,figshare_exam_questions,en
Examine the use of pedagogical reasoning skills by teachers to enhance the usage of instructional materials in classroom.,Analyze,figshare_exam_questions,en
Examine traditional warehouse layout and cross-docking layout.,Analyze,figshare_exam_questions,en
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analyze,figshare_exam_questions,en
Explain THREE characteristics that distinguish authoritarianism from totalitarianism.,Analyze,figshare_exam_questions,en
Explain TWO (2) strengths and TWO (2) weaknesses of clustering based method in outlier detection.,Analyze,figshare_exam_questions,en
Explain and differentiate between TWO types of aggregations when colloidal particles are unstable.,Analyze,figshare_exam_questions,en
"Explain how currency depreciation will affect export, import and the balance of trade of the country.",Analyze,figshare_exam_questions,en
Explain the case study research method and distinguish between single and multiple case study design.,Analyze,figshare_exam_questions,en
Explain the components of CRM that Citibank used.,Analyze,figshare_exam_questions,en
Explain the effect of a cut in taxes of $100 billion on the economy if the marginal propensity to consume were 0.9. Explain why this policy is much different from simply having the government initiate a $100 billion spending program. Support your answer with specific calculations.,Analyze,figshare_exam_questions,en
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analyze,figshare_exam_questions,en
Explain why 3D animation requires much time consuming and complicated in the development phase compared to 2D animation.,Analyze,figshare_exam_questions,en
Explain why the effectiveness of an expansionary monetary policy in increasing aggregate output is partially dependent on the interest sensitivity of the demand for money.,Analyze,figshare_exam_questions,en
Foundation design is required the study and examination of multiple components which is a highly specialized the function and usually is performed by a structural engineer. Inspect the components which have to include in the designing of a building foundation.,Analyze,figshare_exam_questions,en
"From your opinion, explain which one of the methods mentioned earlier is better for the given token stream.",Analyze,figshare_exam_questions,en
GIF and SWF file format can be used to create animations. Compare and state the major advantage and limitation of using GIF rather than SWF for creating animations in webpages.,Analyze,figshare_exam_questions,en
How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analyze,figshare_exam_questions,en
How can you categorize ____ according to...?,Analyze,figshare_exam_questions,en
How can you differentiate between...?,Analyze,figshare_exam_questions,en
How can you distinguish the different parts of_____?,Analyze,figshare_exam_questions,en
How did Chinese newspapers differ from US,Analyze,figshare_exam_questions,en
"How do I differentiate between ""deceive"" and ""cheat on""?",Analyze,figshare_exam_questions,en
How do psychologists differ in their general attitudes toward third party presence,Analyze,figshare_exam_questions,en
How do we differentiate between an interview and an interrogation?,Analyze,figshare_exam_questions,en
How do we differentiate between genuine buyer and undercover buyer,Analyze,figshare_exam_questions,en
How do you analyze a marginally RCT,Analyze,figshare_exam_questions,en
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analyze,figshare_exam_questions,en
How does Hawaii contrast and compare to Florida?,Analyze,figshare_exam_questions,en
How does Tdap differ from Td vaccine,Analyze,figshare_exam_questions,en
How does an endorsement differ from a teaching certificate,Analyze,figshare_exam_questions,en
How does autonomy differ with age,Analyze,figshare_exam_questions,en
How does public health reporting differ today from reporting two years before,Analyze,figshare_exam_questions,en
How does your agency inspect against its expectation for operators,Analyze,figshare_exam_questions,en
How does your pet differ from other animals?,Analyze,figshare_exam_questions,en
How does...compare/contrast with...?,Analyze,figshare_exam_questions,en
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analyze,figshare_exam_questions,en
How is . . . similar to . . .?,Analyze,figshare_exam_questions,en
How is scientific progress similar to Darwinian evolution according to Kuhn,Analyze,figshare_exam_questions,en
How to inspect and maintain fresh water plumbing systems properly,Analyze,figshare_exam_questions,en
How was life different in your town 100 years ago?,Analyze,figshare_exam_questions,en
How was this similar to . . .?,Analyze,figshare_exam_questions,en
How would this story be different if it had happened in a different country?,Analyze,figshare_exam_questions,en
How would you differentiate a project from a program,Analyze,figshare_exam_questions,en
How would you differentiate between heterodox and mainstream,Analyze,figshare_exam_questions,en
How would you differentiate obstructive apneas from central apneas,Analyze,figshare_exam_questions,en
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analyze,figshare_exam_questions,en
How would you investigate this abnormality,Analyze,figshare_exam_questions,en
How would you investigate this patient,Analyze,figshare_exam_questions,en
Identify TWO (2) strategies that are able to reduce the likelihood of an eyewitness reporting someone who did not commit the crime.,Analyze,figshare_exam_questions,en
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analyze,figshare_exam_questions,en
"If your story happened in a foreign land, compare that land to the United States.",Analyze,figshare_exam_questions,en
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analyze,figshare_exam_questions,en
"In a table form, differentiate between RefSeq and GenBank DNA sequences.",Analyze,figshare_exam_questions,en
In what ways are foxes similar to wolves and dogs,Analyze,figshare_exam_questions,en
In what ways do female offenders differ from male offenders,Analyze,figshare_exam_questions,en
"Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analyze,figshare_exam_questions,en
Inspect the pattern of GPS positions relative to the “known” published value,Analyze,figshare_exam_questions,en
Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analyze,figshare_exam_questions,en
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analyze,figshare_exam_questions,en
Investigate innovations that can enhance future Olympics.,Analyze,figshare_exam_questions,en
Investigate whether or not the system can be solved for x; y; z,Analyze,figshare_exam_questions,en
Leaders often face a dilemma because of a perceived conflict between the realm of business and the realm of ethics. Compare the characteristics of leaders who follow a strict rational self-interest approach with those who take an ethical approach.,Analyze,figshare_exam_questions,en
List any five departments and discuss the relations between these departments and the importance of depending on each other.,Analyze,figshare_exam_questions,en
Make a diagnosis or analyze a case study.,Analyze,figshare_exam_questions,en
"Maslow's hierarchy of needs was developed by Abraham Maslow, a specialist in human behavioural psychology. The hierarchy was first developed to help explain the connection between basic human needs and human desires. Distinguish the hierarchy with appropriate example.",Analyze,figshare_exam_questions,en
"Microbiota-based models may be an alternative method to facilitate the use of data on the gut microbiota in certain diseases. For example, NextSeq 550 and NextSeq 550DX platforms have been used to detect gut microbiota in non communicable diseases. Compare and contrast both platforms with regards to their regulatory status, key applications and array scanning.",Analyze,figshare_exam_questions,en
Money growth is always interrelated with inflation phenomenon. Explain how the growth of money will affect the economy when the economy is operating at the full capacity. Illustrate by using an appropriate diagram.,Analyze,figshare_exam_questions,en
Nomination committee plays a crucial role in ensuring the continuity of the board of directors into the future. Analyse the functions of nomination committee in the context of corporate governance.,Analyze,figshare_exam_questions,en
"Optimization of medium and culture conditions of a fermentation process can be conducted by using multifactor experimental design or response surface optimization. With aid of a flow chart, compare and contrast these two methods.",Analyze,figshare_exam_questions,en
Predict FIVE (5) impacts of the crisis towards McDonald's Malaysia if they are not handling the crisis properly.,Analyze,figshare_exam_questions,en
Relate FIVE (5) examples on how video often make new connections and discoveries between curriculum topics and the world outside the classroom.,Analyze,figshare_exam_questions,en
"Response and Task-Based Learning are methods often used in an classroom. Differentiate the two methods by describing THREE (3) characteristics for each method, and give examples of ONE (1) material and ONE (1) activity using that material.",Analyze,figshare_exam_questions,en
Select the athlete of the century and analyze why you chose this person.,Analyze,figshare_exam_questions,en
Short term and long term incentives have their own merits in promoting corporate performance. Compare and contrast the problems associated with both short term and long term incentives.,Analyze,figshare_exam_questions,en
Show your calculations for all THREE (3) options and then discuss which one of the options you prefer.,Analyze,figshare_exam_questions,en
Sketch a graph that associates with a monopoly. Find the profit-maximizing level of output and label it as q*. Find the price that firm should charge and label it as P*. Explain how the profit-maximizing output and price the firm should charge are determined. Explain what the firm should do if marginal revenue is higher than marginal cost.,Analyze,figshare_exam_questions,en
"Suppose firms in industry Y are having an increase in demand. By using appropriate diagrams, explain the effect of an increase in demand and how industry Y achieves the long-run equilibrium in perfect competition.",Analyze,figshare_exam_questions,en
Suppose that Japan and South Korea are trading partners. The exchange rate of Yen for South Korean Won (KRW) is floating freely. Japanese had reduced their imports from South Korea due to lack of demand for Korean products. Explain what will happen to Yen by using an appropriate diagram. Give five reasons why demand for a foreign currency may increase.,Analyze,figshare_exam_questions,en
The Higgs Report (2003) is among the first report that discusses the importance of Senior Independent Non-Executive Director (Senior INED). Analyse the rationales of having Senior INED in a company.,Analyze,figshare_exam_questions,en
The construction industry comprises a wide diversity of firms that it is impossible to categorise them all within one type of market structure. Discuss.,Analyze,figshare_exam_questions,en
The scope of institutional shareholder activism includes attempts made to bring about changes in a company's behavior for adoption of good governance practices. Differentiate shareholder resolution and proxy voting as the two major tools for institutional shareholder to promote corporate governance.,Analyze,figshare_exam_questions,en
"The technology of VLSI is defined by the feature size. Over the years, the feature size has been reducing. Analyze and explain the reasons for doing so.",Analyze,figshare_exam_questions,en
There are TWO (2) common methods used in the semiconductor industry to fabricate single crystal silicon. Analyze the advantage and disadvantage of both methods.,Analyze,figshare_exam_questions,en
There are several corporate governance tools available for institutional shareholders activism. Differentiate shareholder resolution and proxy voting,Analyze,figshare_exam_questions,en
"There are three common types of brick in Malaysia, namely common brick, facing brick and engineering brick. Differentiate the properties and the applications among them.",Analyze,figshare_exam_questions,en
"There are two approaches to solve a problem, namely X and Y. Approach X uses a lot of synchronizations compared to approach Y. Briefly explain why the approach Y should be chosen to solve the problem.",Analyze,figshare_exam_questions,en
There is a relationship between the level of construction activity and a country's stage of development. Discuss.,Analyze,figshare_exam_questions,en
"Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;",Analyze,figshare_exam_questions,en
Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j – 1] + 2;else alpha[j] = alpha[j – 1] + 3;},Analyze,figshare_exam_questions,en
"Using appropriate examples, differentiate between agglomerative and divisive in the context of agglomerative hierarchical clustering.",Analyze,figshare_exam_questions,en
"Video got its start on cathode ray tube television systems, but has moved on to be used in many more applications. Relate the video transmission on television sets and computer monitors with interlacing and progressive scan techniques",Analyze,figshare_exam_questions,en
What are the parts or features of...?,Analyze,figshare_exam_questions,en
What can I do to investigate this problem further,Analyze,figshare_exam_questions,en
What evidence can you find to suggest that people should be regarded as the most important resource of an organisation?,Analyze,figshare_exam_questions,en
What evidence can you list for...,Analyze,figshare_exam_questions,en
What has the author used to create this effect,Analyze,figshare_exam_questions,en
"With an appropriate example, discuss the effectiveness of using message queue compared to pipes in communication between processes.",Analyze,figshare_exam_questions,en
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analyze,figshare_exam_questions,en
how the investigation was undertaken,Analyze,figshare_exam_questions,en
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analyze,figshare_exam_questions,en
in what ways trajectory patterns differ according to ABC,Analyze,figshare_exam_questions,en
“China has been practicing low exchange rate for previous decades.” Clarify the pros and cons under this practice.,Analyze,figshare_exam_questions,en
“The US dollar hit its highest levels in years shortly after Donald Trump won the presidential election in November 2016.” The statement above refers to the strong dollar scenario. Explain the pros and cons under this scenario.,Analyze,figshare_exam_questions,en
"A banker's acceptance (BA) is a promised future payment, or time draft, which is accepted and guaranteed by a bank and drawn on a deposit at the bank. The BA specifies the amount of money, the date, and the person to whom the payment is due. Draw and explain the sequence of a banker's acceptance transaction.",Apply,figshare_exam_questions,en
A blue solid cube with dimensions of 10.0 x 10-9 m was dispersed into water to become colloidal particles with dimensions of 1.0 x 10-9 m. Calculate the changes of surface area to volume (surface / volume).,Apply,figshare_exam_questions,en
"A five-year, RM1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. Compute the duration of the bond.",Apply,figshare_exam_questions,en
A solid cube with dimensions of 10.0 nm was dispersed into water to become colloidal particles with dimensions of 1.0 nm. Calculate the changes of surface area to volume (surface / volume).,Apply,figshare_exam_questions,en
AJAX is a technology that is being widely used in web applications for faster response time. Explain the necessary steps to implementing an AJAX application.,Apply,figshare_exam_questions,en
Apply Porter's five competitive forces analysis to examine the summer job industry for your uncle.,Apply,figshare_exam_questions,en
Apply SWOT analysis in education environment and discuss its impact in the revenue analysis.,Apply,figshare_exam_questions,en
